row_type,model,fold,seed,condition,Macro_F1,retention,representation_drift,SD,effect_name,effect_value,value_status,note,retention_SD,representation_drift_SD
run,C11_no_mask,2,17,No interaction,0.5333961895429153,0.5792650509141473,0.2023346126079559,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,17,Self + no-gap prior,0.5286339286289603,0.5740932642293706,0.2111865431070327,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,17,Self only,0.5212674842996621,0.5660933500321511,0.2318043261766433,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,Full,0.952238218313553,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,No prior,0.9545987021585666,1.0024788795488528,0.0008216607384383,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,No interaction,0.6504591828756464,0.6830845164224055,0.0876795053482055,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,Self + no-gap prior,0.6463698049931149,0.6787900260271619,0.0915007442235946,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,Self only,0.6111141660143673,0.6417660562885952,0.1116791740059852,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,42,Full,0.9677504318388196,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,42,No prior,0.9476477335093142,0.9792273941006584,0.0012225082609802,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,42,No interaction,0.5378663204497217,0.5557903181998313,0.1626390367746353,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,42,Self + no-gap prior,0.553926202343727,0.5723853837928169,0.1491833627223968,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,42,Self only,0.5115757980378385,0.5286236835521684,0.1866921633481979,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,73,Full,0.8535671680957537,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,73,No prior,0.8509603083822705,0.9969459231670088,0.0025570269208401,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,73,No interaction,0.6032632620181796,0.7067554664315593,0.0473907478153705,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,73,Self + no-gap prior,0.5995420352123015,0.7023958484132377,0.049704473465681,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,73,Self only,0.5690665414699626,0.6666921628903659,0.0672496855258941,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,73,Full,0.9495901829194416,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,73,No prior,0.9450252718577766,0.9951927566820136,0.0009002721053548,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,73,No interaction,0.5450638598767902,0.5739990468320065,0.1868273168802261,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,73,Self + no-gap prior,0.538407595506134,0.566989428903784,0.1836371272802353,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,73,Self only,0.3974167989289506,0.4185140138108035,0.2844276130199432,NA,NA,NA,REAL_MEASURED,,NA,NA
spec_fixed_condition_summary,C11,ALL,ALL,Full,0.928549,1.0,0.0,NA,NA,NA,SPEC_FIXED_USER_PROVIDED,Manuscript aggregate fixed by user; not a reconstructed run distribution.,NA,NA
spec_fixed_condition_summary,C11,ALL,ALL,No prior,0.920192,0.991,0.005,NA,NA,NA,SPEC_FIXED_USER_PROVIDED,Manuscript aggregate fixed by user; not a reconstructed run distribution.,NA,NA
spec_fixed_condition_summary,C11,ALL,ALL,No interaction,0.854265,0.92,0.03,NA,NA,NA,SPEC_FIXED_USER_PROVIDED,Manuscript aggregate fixed by user; not a reconstructed run distribution.,NA,NA
spec_fixed_condition_summary,C11,ALL,ALL,Self + no-gap prior,0.82548,0.889,0.045,NA,NA,NA,SPEC_FIXED_USER_PROVIDED,Manuscript aggregate fixed by user; not a reconstructed run distribution.,NA,NA
spec_fixed_condition_summary,C11,ALL,ALL,Self only,0.742839,0.8,0.07,NA,NA,NA,SPEC_FIXED_USER_PROVIDED,Manuscript aggregate fixed by user; not a reconstructed run distribution.,NA,NA
spec_fixed_effect,C11_minus_C11_no_mask,ALL,ALL,ALL_MISSING,NA,NA,NA,NA,mean_missing_retention,0.9,SPEC_FIXED_USER_PROVIDED,,NA,NA
spec_fixed_effect,C11_minus_C11_no_mask,ALL,ALL,ALL_MISSING,NA,NA,NA,NA,mask_supervision_mean_Macro_F1_effect,0.062992,SPEC_FIXED_USER_PROVIDED,,NA,NA
spec_fixed_effect,C11_minus_C11_no_mask,ALL,ALL,ALL_MISSING,NA,NA,NA,NA,mask_supervision_mean_retention_effect,0.068279,SPEC_FIXED_USER_PROVIDED,,NA,NA
spec_fixed_effect,C11_minus_C11_no_mask,ALL,ALL,ALL_MISSING,NA,NA,NA,NA,mask_supervision_worst_retention_effect,0.114815,SPEC_FIXED_USER_PROVIDED,,NA,NA
spec_fixed_effect,C11_minus_C11_no_mask,ALL,ALL,ALL_MISSING,NA,NA,NA,NA,full_input_effect_versus_no_mask,-0.000991,SPEC_FIXED_USER_PROVIDED,,NA,NA
condition_summary_real,C11,ALL,ALL,Full,0.9285489219727707,1.0,0.0,0.03562235900726818,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.0,0.0
condition_summary_real,C11,ALL,ALL,No interaction,0.6348393662128127,0.6836913638754528,0.10323108691308229,0.04965209930945644,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.04628324777643517,0.029619777220164203
condition_summary_real,C11,ALL,ALL,No prior,0.9260698909086211,0.9971962828983377,0.0020476689355240444,0.03941305409640231,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.00702151901259974,0.0012626237623405271
condition_summary_real,C11,ALL,ALL,Self + no-gap prior,0.6193454664852059,0.6670535927877997,0.11019880283210007,0.05237664527634172,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.0507926920517529,0.031011711637409806
condition_summary_real,C11,ALL,ALL,Self only,0.562568876584676,0.6059774916577376,0.14031463364760077,0.054779017939132243,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.056031932452858556,0.04770066353231943
condition_summary_real,C11_no_mask,ALL,ALL,Full,0.9295399749266421,1.0,0.0,0.03917949000196903,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.0,0.0
condition_summary_real,C11_no_mask,ALL,ALL,No interaction,0.564856234499297,0.6076763660716176,0.1438777281178368,0.06689358012513597,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.06622185388610333,0.05543035077350888
condition_summary_real,C11_no_mask,ALL,ALL,No prior,0.9273822976905526,0.9980855376241495,0.0021793626300576443,0.03156419226687943,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.01578102062674356,0.001318666246134166
condition_summary_real,C11_no_mask,ALL,ALL,Self + no-gap prior,0.5426346055608549,0.5838761673122633,0.1577342765198813,0.07672412780707068,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.07878428556627345,0.06103999972555257
condition_summary_real,C11_no_mask,ALL,ALL,Self only,0.45598275499969687,0.49116280264769646,0.23350899252626625,0.09590588796546763,NA,NA,REAL_MEASURED,Mean±SD across 9 frozen runs; SD column is Macro-F1 SD.,0.10383592839227923,0.10019751915394393
